attribute,group,precision,recall,f1,fpr,fnr,support,positive_rate
race,Caucasian,0.15318572074107548,0.7911318553092183,0.2566723452583759,0.5753319517998311,0.2088681446907818,14743,0.1162585633860137
race,AfricanAmerican,0.14883720930232558,0.7637231503579952,0.2491241728298949,0.5398230088495575,0.23627684964200477,3809,0.11000262536098714
race,Unknown,0.12264150943396226,0.5416666666666666,0.2,0.43559718969555034,0.4583333333333333,475,0.10105263157894737
race,Hispanic,0.1326530612244898,0.8125,0.22807017543859648,0.4497354497354497,0.1875,410,0.07804878048780488
race,Other,0.13125,0.7,0.22105263157894736,0.5072992700729927,0.3,304,0.09868421052631579
race,Asian,0.2711864406779661,0.8,0.4050632911392405,0.39814814814814814,0.2,128,0.15625
gender,Female,0.14588818336688864,0.78369384359401,0.24598511555033295,0.5836596465234416,0.21630615640599002,10651,0.1128532532156605
gender,Male,0.1591260634184068,0.7756833176248822,0.2640782929568426,0.5331617016059826,0.22431668237511782,9218,0.11510088956389672
age,[70-80),0.14285714285714285,0.8089500860585198,0.2428313097390855,0.6342780026990553,0.19104991394148021,5027,0.11557589019295803
age,[60-70),0.1490015360983103,0.7592954990215264,0.2491171749598716,0.5560853199498118,0.24070450097847357,4496,0.11365658362989324
age,[50-60),0.15210355987055016,0.6932153392330384,0.2494692144373673,0.43106284962158603,0.30678466076696165,3378,0.10035523978685613
age,[80-90),0.1452853095912586,0.890818858560794,0.24982602644398053,0.7387198321091291,0.10918114143920596,3262,0.12354383813611282
age,[40-50),0.19809069212410502,0.7063829787234043,0.30941286113699906,0.39344262295081966,0.2936170212765957,1943,0.12094698919197118
age,[30-40),0.18791946308724833,0.7777777777777778,0.3027027027027027,0.3728813559322034,0.2222222222222222,721,0.09986130374479889
age,[90-100),0.14105793450881612,0.7887323943661971,0.23931623931623933,0.754424778761062,0.2112676056338028,523,0.13575525812619502
age,[20-30),0.19607843137254902,0.7317073170731707,0.30927835051546393,0.41414141414141414,0.2682926829268293,338,0.12130177514792899
age,[10-20),0.15151515151515152,0.5,0.23255813953488372,0.20588235294117646,0.5,146,0.0684931506849315
age,[0-10),0.0,0.0,0.0,0.0,0.0,35,0.0
